iteration,timesteps,episode_reward_mean,cumulative_reward,current_balance,timestamp
1,66.3722665309906,-13.151643846420454,-13.151643846420454,,1744164740.0761375
2,141.5641965866089,-12.858306805914548,-26.009950652335,,1744164815.2954285
3,218.31496691703796,-12.389743977739954,-38.399694630074954,,1744164892.0716398
4,284.4064109325409,-11.941690649426274,-50.341385279501225,,1744164958.1942415
5,349.8842611312866,-11.371978781821959,-61.71336406132318,,1744165023.6962514
6,414.83795499801636,-10.51877134852982,-72.232135409853,,1744165088.6847725
7,480.0366258621216,-9.566316673131215,-81.79845208298421,,1744165153.9229882
8,551.1863243579865,-8.537086231215456,-90.33553831419967,,1744165225.1065063
9,623.1263542175293,-7.315628894844543,-97.6511672090442,,1744165297.0775118
10,692.8950049877167,-6.2630599468773225,-103.91422715592152,,1744165366.8798804
11,760.6109046936035,-5.054868772335691,-108.96909592825722,,1744165434.7678921
12,828.9731795787811,-3.821713636916558,-112.79080956517377,,1744165503.1634533
13,897.9202961921692,-2.2176310237590124,-115.00844058893279,,1744165572.1408837
14,966.1015033721924,0.25025985733988265,-114.7581807315929,,1744165640.3531768
15,1057.7585897445679,2.863366351586352,-111.89481438000655,,1744165732.038744
16,1133.3483831882477,5.528790893363802,-106.36602348664275,,1744165807.6614652
17,1200.0551826953888,8.073033110229998,-98.29299037641275,,1744165874.3972003
18,1284.710253238678,10.518567978349717,-87.77442239806302,,1744165959.087605
19,1362.4611587524414,12.861946491846275,-74.91247590621674,,1744166036.8709066
20,1442.0236315727234,15.160617840432923,-59.75185806578382,,1744166116.48408
21,1518.6723892688751,17.23051932580471,-42.521338739979115,,1744166193.5758655
22,1584.4135620594025,19.026470931570156,-23.49486780840896,,1744166259.350285
23,1653.0557947158813,20.706165382719856,-2.7887024256891024,,1744166328.019088
24,1728.7281122207642,22.224397270948774,19.435694845259672,,1744166403.7164087
25,1802.281433582306,23.4633511715056,42.89904601676527,,1744166477.2938914
26,1870.6119956970215,24.47452148854922,67.3735675053145,,1744166545.6505587
